,Attribute,Param
0,pace,-0.030063561230338483
1,pace_acceleration,0.05134640561005971
2,pace_sprint_speed,0.06656343114122926
3,dribbling,0.0005407307442134529
4,drib_agility,0.002716839536505108
5,drib_balance,-0.0017697031304676478
6,drib_reactions,0.09039933829849015
7,drib_ball_control,0.0954778840430445
8,drib_dribbling,0.06432974045012738
9,drib_composure,-0.001394592652082963
10,shooting,-0.061706619316974375
11,shoot_positioning,0.1359542987098163
12,shoot_finishing,0.2193873778618754
13,shoot_shot_power,0.11365261822744414
14,shoot_long_shots,0.03976729494462212
15,shoot_volleys,0.02549920960377372
16,shoot_penalties,0.005259980704808405
17,passing,-0.008565117634441321
18,pass_vision,0.001427841111334658
19,pass_crossing,0.0033214539620464584
20,pass_free_kick,0.001222621048135822
21,pass_short,0.057296543878348594
22,pass_long,-7.546688857721554e-05
23,pass_curve,-0.0005538463643601857
24,defending,-0.008815167566159781
25,def_interceptions,0.002872132810973304
26,def_heading,0.1000210034397074
27,def_marking,0.0017722584397753028
28,def_stand_tackle,0.005348024529579171
29,def_slid_tackle,0.0008120490013120575
30,physicality,-0.017814957006549774
31,phys_jumping,0.0006743996799393061
32,phys_stamina,0.006277425990506091
33,phys_strength,0.056839992308500245
34,phys_aggression,0.002880050935607866
